"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município";"Ano"
"Acará (PA)";"55744"
"Afuá (PA)";"39910"
"Água Azul do Norte (PA)";"27797"
"Alenquer (PA)";"57390"
"Almeirim (PA)";"34044"
"Altamira (PA)";"117320"
"Anajás (PA)";"30091"
"Ananindeua (PA)";"540410"
"Anapu (PA)";"29312"
"Augusto Corrêa (PA)";"46937"
"Aurora do Pará (PA)";"32200"
"Aveiro (PA)";"16421"
"Bagre (PA)";"31967"
"Baião (PA)";"49454"
"Bannach (PA)";"3239"
"Barcarena (PA)";"129333"
"Belém (PA)";"1506420"
"Belterra (PA)";"17944"
"Benevides (PA)";"64780"
"Bom Jesus do Tocantins (PA)";"17254"
"Bonito (PA)";"16769"
"Bragança (PA)";"130122"
"Brasil Novo (PA)";"14883"
"Brejo Grande do Araguaia (PA)";"7357"
"Breu Branco (PA)";"68597"
"Breves (PA)";"104280"
"Bujaru (PA)";"29717"
"Cachoeira do Piriá (PA)";"35307"
"Cachoeira do Arari (PA)";"24355"
"Cametá (PA)";"140814"
"Canaã dos Carajás (PA)";"39103"
"Capanema (PA)";"69828"
"Capitão Poço (PA)";"54545"
"Castanhal (PA)";"205667"
"Chaves (PA)";"24175"
"Colares (PA)";"12175"
"Conceição do Araguaia (PA)";"48115"
"Concórdia do Pará (PA)";"34236"
"Cumaru do Norte (PA)";"14044"
"Curionópolis (PA)";"17764"
"Curralinho (PA)";"35530"
"Curuá (PA)";"14776"
"Curuçá (PA)";"41093"
"Dom Eliseu (PA)";"61206"
"Eldorado do Carajás (PA)";"34069"
"Faro (PA)";"6949"
"Floresta do Araguaia (PA)";"20742"
"Garrafão do Norte (PA)";"26155"
"Goianésia do Pará (PA)";"41678"
"Gurupá (PA)";"34127"
"Igarapé-Açu (PA)";"39234"
"Igarapé-Miri (PA)";"63367"
"Inhangapi (PA)";"12009"
"Ipixuna do Pará (PA)";"67170"
"Irituia (PA)";"32639"
"Itaituba (PA)";"101541"
"Itupiranga (PA)";"53439"
"Jacareacanga (PA)";"6952"
"Jacundá (PA)";"60517"
"Juruti (PA)";"59961"
"Limoeiro do Ajuru (PA)";"29623"
"Mãe do Rio (PA)";"30389"
"Magalhães Barata (PA)";"8598"
"Marabá (PA)";"287664"
"Maracanã (PA)";"29559"
"Marapanim (PA)";"28563"
"Marituba (PA)";"135812"
"Medicilândia (PA)";"32347"
"Melgaço (PA)";"28121"
"Mocajuba (PA)";"31917"
"Moju (PA)";"84251"
"Mojuí dos Campos (PA)";"16282"
"Monte Alegre (PA)";"58289"
"Muaná (PA)";"41454"
"Nova Esperança do Piriá (PA)";"21519"
"Nova Ipixuna (PA)";"17027"
"Nova Timboteua (PA)";"15646"
"Novo Progresso (PA)";"25769"
"Novo Repartimento (PA)";"78488"
"Óbidos (PA)";"52473"
"Oeiras do Pará (PA)";"33182"
"Oriximiná (PA)";"74921"
"Ourém (PA)";"18079"
"Ourilândia do Norte (PA)";"33831"
"Pacajá (PA)";"49110"
"Palestina do Pará (PA)";"7575"
"Paragominas (PA)";"115838"
"Parauapebas (PA)";"218787"
"Pau D'Arco (PA)";"5339"
"Peixe-Boi (PA)";"8084"
"Piçarra (PA)";"12976"
"Placas (PA)";"32325"
"Ponta de Pedras (PA)";"32007"
"Portel (PA)";"63831"
"Porto de Moz (PA)";"42456"
"Prainha (PA)";"29827"
"Primavera (PA)";"10889"
"Quatipuru (PA)";"13794"
"Redenção (PA)";"86326"
"Rio Maria (PA)";"18208"
"Rondon do Pará (PA)";"53242"
"Rurópolis (PA)";"52473"
"Salinópolis (PA)";"41164"
"Salvaterra (PA)";"24392"
"Santa Bárbara do Pará (PA)";"21811"
"Santa Cruz do Arari (PA)";"10496"
"Santa Izabel do Pará (PA)";"72856"
"Santa Luzia do Pará (PA)";"19839"
"Santa Maria das Barreiras (PA)";"22244"
"Santa Maria do Pará (PA)";"25127"
"Santana do Araguaia (PA)";"75995"
"Santarém (PA)";"308339"
"Santarém Novo (PA)";"6796"
"Santo Antônio do Tauá (PA)";"32346"
"São Caetano de Odivelas (PA)";"18207"
"São Domingos do Araguaia (PA)";"25945"
"São Domingos do Capim (PA)";"32285"
"São Félix do Xingu (PA)";"135732"
"São Francisco do Pará (PA)";"15978"
"São Geraldo do Araguaia (PA)";"24566"
"São João da Ponta (PA)";"6294"
"São João de Pirabas (PA)";"23440"
"São João do Araguaia (PA)";"14105"
"São Miguel do Guamá (PA)";"60268"
"São Sebastião da Boa Vista (PA)";"27302"
"Sapucaia (PA)";"6088"
"Senador José Porfírio (PA)";"11305"
"Soure (PA)";"25752"
"Tailândia (PA)";"111554"
"Terra Alta (PA)";"11971"
"Terra Santa (PA)";"19063"
"Tomé-Açu (PA)";"64604"
"Tracuateua (PA)";"31549"
"Trairão (PA)";"19344"
"Tucumã (PA)";"40661"
"Tucuruí (PA)";"116605"
"Ulianópolis (PA)";"62286"
"Uruará (PA)";"45395"
"Vigia (PA)";"54650"
"Viseu (PA)";"62093"
"Vitória do Xingu (PA)";"15421"
"Xinguara (PA)";"45416"
"Serra do Navio (AP)";"5577"
"Amapá (AP)";"9265"
"Pedra Branca do Amapari (AP)";"17625"
"Calçoene (AP)";"11493"
"Cutias (AP)";"6217"
"Ferreira Gomes (AP)";"8151"
"Itaubal (AP)";"5730"
"Laranjal do Jari (AP)";"52302"
"Macapá (AP)";"522357"
"Mazagão (AP)";"22468"
"Oiapoque (AP)";"28534"
"Porto Grande (AP)";"22927"
"Pracuúba (AP)";"5370"
"Santana (AP)";"124808"
"Tartarugalzinho (AP)";"18217"
"Vitória do Jari (AP)";"16572"
"Abreulândia (TO)";"2609"
"Aguiarnópolis (TO)";"7049"
"Aliança do Tocantins (TO)";"5303"
"Almas (TO)";"6905"
"Alvorada (TO)";"8381"
"Ananás (TO)";"9435"
"Angico (TO)";"3475"
"Aparecida do Rio Negro (TO)";"4901"
"Aragominas (TO)";"5705"
"Araguacema (TO)";"7223"
"Araguaçu (TO)";"8418"
"Araguaína (TO)";"186245"
"Araguanã (TO)";"5856"
"Araguatins (TO)";"36573"
"Arapoema (TO)";"6590"
"Arraias (TO)";"10502"
"Augustinópolis (TO)";"18870"
"Aurora do Tocantins (TO)";"3809"
"Axixá do Tocantins (TO)";"9817"
"Babaçulândia (TO)";"10668"
"Bandeirantes do Tocantins (TO)";"3631"
"Barra do Ouro (TO)";"4673"
"Barrolândia (TO)";"5669"
"Bernardo Sayão (TO)";"4439"
"Bom Jesus do Tocantins (TO)";"5120"
"Brasilândia do Tocantins (TO)";"2221"
"Brejinho de Nazaré (TO)";"5540"
